iter	Passed	Remaining
455	1004	3402
456	1006	3399
457	1008	3395
458	1010	3390
459	1011	3386
460	1013	3382
461	1014	3378
462	1016	3374
463	1018	3370
464	1020	3369
465	1022	3366
466	1024	3362
467	1026	3358
468	1027	3355
469	1029	3351
470	1031	3347
471	1032	3343
472	1034	3338
473	1036	3336
474	1038	3334
475	1040	3331
476	1042	3327
477	1043	3323
478	1045	3320
479	1047	3316
480	1048	3312
481	1050	3309
482	1054	3310
483	1055	3307
484	1057	3303
485	1059	3299
486	1060	3295
487	1062	3291
488	1063	3287
489	1065	3284
490	1068	3283
491	1070	3280
492	1071	3276
493	1073	3272
494	1075	3269
495	1076	3265
496	1078	3261
497	1080	3257
498	1081	3254
499	1083	3251
500	1085	3248
501	1087	3244
502	1089	3241
503	1090	3237
504	1092	3233
505	1093	3229
506	1095	3225
507	1097	3222
508	1098	3218
509	1100	3216
510	1102	3213
511	1104	3209
512	1106	3206
513	1107	3202
514	1109	3199
515	1111	3196
516	1113	3193
517	1114	3189
518	1116	3187
519	1118	3184
520	1120	3180
521	1122	3177
522	1123	3174
523	1125	3171
524	1127	3167
525	1129	3164
526	1131	3161
527	1133	3159
528	1134	3155
529	1136	3151
530	1137	3148
531	1139	3144
532	1141	3141
533	1142	3137
534	1144	3133
535	1145	3130
536	1148	3127
537	1149	3124
538	1151	3121
539	1153	3117
540	1154	3114
541	1156	3110
542	1158	3107
543	1159	3104
544	1161	3100
545	1163	3098
546	1165	3095
547	1167	3092
548	1168	3088
549	1170	3085
550	1172	3082
551	1173	3078
552	1175	3075
553	1176	3071
554	1178	3068
555	1180	3066
556	1182	3063
557	1184	3060
558	1186	3057
559	1188	3055
560	1189	3051
561	1191	3048
562	1192	3044
563	1195	3042
564	1197	3040
565	1198	3037
566	1200	3034
567	1202	3030
568	1203	3027
569	1205	3024
570	1207	3021
571	1208	3017
572	1210	3015
573	1212	3012
574	1214	3009
575	1216	3007
576	1218	3003
577	1219	3000
578	1221	2998
579	1223	2995
580	1225	2991
581	1227	2990
582	1229	2987
583	1230	2984
584	1232	2981
585	1234	2978
586	1235	2974
587	1237	2971
588	1239	2968
589	1240	2965
590	1244	2966
591	1246	2964
592	1248	2961
593	1249	2958
594	1251	2954
595	1252	2951
596	1254	2948
597	1256	2945
598	1258	2942
599	1260	2941
600	1262	2937
601	1263	2934
602	1265	2931
603	1267	2928
604	1268	2925
605	1270	2922
606	1271	2919
607	1274	2917
608	1276	2915
609	1277	2912
610	1279	2909
611	1281	2905
612	1282	2902
613	1284	2899
614	1286	2896
615	1287	2893
616	1289	2890
617	1291	2888
618	1293	2884
619	1294	2881
620	1296	2878
621	1297	2875
622	1299	2871
623	1300	2868
624	1302	2865
625	1304	2862
626	1306	2860
627	1308	2858
628	1310	2855
629	1311	2852
630	1313	2849
631	1315	2846
632	1316	2844
633	1318	2841
634	1320	2838
635	1322	2836
636	1324	2833
637	1326	2831
638	1327	2828
639	1329	2825
640	1330	2821
641	1332	2818
642	1334	2816
643	1336	2813
644	1338	2811
645	1340	2809
646	1341	2806
647	1343	2803
648	1345	2800
649	1347	2797
