iter	RMSE
0	35.74832315
1	35.38713184
2	35.04361625
3	34.77694438
4	34.47857589
5	34.18343284
6	33.87874781
7	33.56642434
8	33.24107982
9	32.94206267
10	32.68427742
11	32.42986008
12	32.1293125
13	31.92148482
14	31.65499196
15	31.44987302
16	31.1883009
17	30.97872715
18	30.72603844
19	30.48679775
20	30.27675927
21	30.0233809
22	29.8413027
23	29.68632901
24	29.45819557
25	29.24198936
26	29.02937029
27	28.84404615
28	28.64993611
29	28.52764252
30	28.36842743
31	28.23187994
32	28.09734809
33	27.93994211
34	27.81888566
35	27.64641722
36	27.49305622
37	27.32090237
38	27.1656795
39	27.01388908
40	26.87440775
41	26.7423897
42	26.63528607
43	26.52847795
44	26.41195898
45	26.27679198
46	26.14174792
47	25.99737322
48	25.87351386
49	25.76493004
50	25.65085216
51	25.53598778
52	25.43535022
53	25.3434169
54	25.22900459
55	25.13351167
56	25.05521642
57	24.97141285
58	24.86803606
59	24.77520422
60	24.67584339
61	24.5940841
62	24.52804578
63	24.47083513
64	24.40892337
65	24.34213434
66	24.2581806
67	24.17001437
68	24.10748452
69	24.02495745
70	23.96619893
71	23.90251857
72	23.84736124
73	23.79163926
74	23.72723579
75	23.65713314
76	23.61489424
77	23.55882875
78	23.52366665
79	23.48209844
80	23.43638639
81	23.38181334
82	23.32504359
83	23.26274638
84	23.22512086
85	23.17889133
86	23.13935095
87	23.09435322
88	23.04143227
89	22.9902253
90	22.94152504
91	22.88724403
92	22.82884651
93	22.78720758
94	22.74903651
95	22.71119528
96	22.68470831
97	22.64132797
98	22.59447193
99	22.56387369
100	22.53757511
101	22.50362807
102	22.47323287
103	22.44623601
104	22.40047146
105	22.37370862
106	22.32855235
107	22.30537455
108	22.28552715
109	22.25295498
110	22.22297766
111	22.18170788
112	22.14476441
113	22.097711
114	22.06168914
115	22.01780721
116	21.99185688
117	21.95987196
118	21.9375218
119	21.9060973
120	21.88385542
121	21.86153419
122	21.83619352
123	21.80092776
124	21.78119144
125	21.74689585
126	21.7126237
127	21.69128057
128	21.65931248
129	21.63679102
130	21.6078659
131	21.59153763
132	21.57120945
133	21.54785549
134	21.52054958
135	21.50219784
136	21.47709785
137	21.44873375
